<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.07	03:27:00	0.85359	0.85360	0.85355	0.85355	12	0	13
2024.02.07	03:30:00	0.85355	0.85359	0.85348	0.85349	33	0	13
2024.02.07	03:33:00	0.85349	0.85354	0.85346	0.85352	22	0	13
2024.02.07	03:36:00	0.85352	0.85356	0.85352	0.85356	21	0	13
2024.02.07	03:39:00	0.85356	0.85358	0.85354	0.85354	13	0	13
2024.02.07	03:42:00	0.85354	0.85357	0.85352	0.85353	18	0	13
2024.02.07	03:45:00	0.85353	0.85355	0.85351	0.85353	21	0	13
2024.02.07	03:48:00	0.85353	0.85354	0.85337	0.85350	55	0	13
2024.02.07	03:51:00	0.85350	0.85351	0.85339	0.85342	24	0	13
2024.02.07	03:54:00	0.85342	0.85349	0.85342	0.85345	22	0	14
2024.02.07	03:57:00	0.85345	0.85345	0.85338	0.85345	30	0	13
2024.02.07	04:00:00	0.85345	0.85351	0.85344	0.85344	25	0	13
2024.02.07	04:03:00	0.85344	0.85349	0.85344	0.85347	24	0	13
2024.02.07	04:06:00	0.85348	0.85356	0.85347	0.85355	24	0	13
2024.02.07	04:09:00	0.85355	0.85358	0.85355	0.85357	27	0	13
2024.02.07	04:12:00	0.85357	0.85359	0.85356	0.85358	16	0	13
2024.02.07	04:15:00	0.85357	0.85359	0.85355	0.85358	15	0	13
2024.02.07	04:18:00	0.85358	0.85359	0.85354	0.85355	15	0	13
2024.02.07	04:21:00	0.85356	0.85362	0.85356	0.85360	17	0	13
2024.02.07	04:24:00	0.85360	0.85361	0.85352	0.85352	16	0	13
2024.02.07	04:27:00	0.85351	0.85357	0.85348	0.85351	21	0	14
2024.02.07	04:30:00	0.85351	0.85354	0.85351	0.85352	18	0	14
2024.02.07	04:33:00	0.85353	0.85354	0.85351	0.85352	27	0	14
2024.02.07	04:36:00	0.85352	0.85354	0.85351	0.85352	20	0	14
2024.02.07	04:39:00	0.85352	0.85360	0.85352	0.85360	19	0	13
2024.02.07	04:42:00	0.85360	0.85368	0.85360	0.85367	11	0	13
2024.02.07	04:45:00	0.85368	0.85369	0.85365	0.85366	13	0	13
2024.02.07	04:48:00	0.85366	0.85382	0.85366	0.85380	29	0	13
2024.02.07	04:51:00	0.85380	0.85384	0.85379	0.85379	16	0	13
2024.02.07	04:54:00	0.85379	0.85380	0.85375	0.85376	15	0	13
2024.02.07	04:57:00	0.85376	0.85377	0.85375	0.85376	10	0	13
2024.02.07	05:00:00	0.85376	0.85376	0.85369	0.85369	14	0	13
2024.02.07	05:03:00	0.85369	0.85372	0.85368	0.85370	12	0	13
2024.02.07	05:06:00	0.85370	0.85374	0.85370	0.85372	12	0	14
2024.02.07	05:09:00	0.85372	0.85375	0.85369	0.85373	12	0	13
2024.02.07	05:12:00	0.85373	0.85374	0.85372	0.85372	8	0	13
2024.02.07	05:15:00	0.85371	0.85371	0.85368	0.85370	13	0	13
2024.02.07	05:18:00	0.85370	0.85370	0.85358	0.85358	13	0	13
2024.02.07	05:21:00	0.85359	0.85359	0.85352	0.85356	22	0	13
2024.02.07	05:24:00	0.85356	0.85356	0.85354	0.85355	10	0	13
2024.02.07	05:27:00	0.85355	0.85355	0.85348	0.85348	22	0	14
2024.02.07	05:30:00	0.85349	0.85353	0.85347	0.85349	33	0	14
2024.02.07	05:33:00	0.85349	0.85352	0.85346	0.85351	30	0	14
2024.02.07	05:36:00	0.85351	0.85353	0.85348	0.85353	16	0	14
2024.02.07	05:39:00	0.85353	0.85365	0.85351	0.85359	25	0	14
2024.02.07	05:42:00	0.85360	0.85360	0.85356	0.85357	18	0	13
2024.02.07	05:45:00	0.85357	0.85358	0.85354	0.85355	12	0	13
2024.02.07	05:48:00	0.85355	0.85358	0.85352	0.85357	14	0	13
2024.02.07	05:51:00	0.85357	0.85358	0.85355	0.85355	31	0	13
2024.02.07	05:54:00	0.85355	0.85361	0.85353	0.85361	29	0	14
2024.02.07	05:57:00	0.85362	0.85370	0.85362	0.85370	16	0	13
2024.02.07	06:00:00	0.85370	0.85373	0.85367	0.85373	20	0	13
2024.02.07	06:03:00	0.85373	0.85376	0.85369	0.85373	17	0	13
2024.02.07	06:06:00	0.85373	0.85377	0.85373	0.85373	14	0	14
2024.02.07	06:09:00	0.85373	0.85373	0.85369	0.85370	7	0	15
2024.02.07	06:12:00	0.85371	0.85375	0.85371	0.85375	10	0	14
2024.02.07	06:15:00	0.85375	0.85378	0.85374	0.85377	20	0	14
2024.02.07	06:18:00	0.85377	0.85377	0.85372	0.85372	16	0	13
2024.02.07	06:21:00	0.85372	0.85377	0.85372	0.85376	14	0	14
