<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.05	00:00:00	0.85288	0.85358	0.85288	0.85347	9	0	96
2024.02.05	00:03:00	0.85347	0.85347	0.85314	0.85314	6	0	66
2024.02.05	00:06:00	0.85314	0.85314	0.85266	0.85266	6	0	101
2024.02.05	00:09:00	0.85266	0.85319	0.85266	0.85319	23	0	94
2024.02.05	00:12:00	0.85319	0.85337	0.85315	0.85337	18	0	83
2024.02.05	00:15:00	0.85337	0.85346	0.85333	0.85344	18	0	81
2024.02.05	00:18:00	0.85345	0.85347	0.85345	0.85346	12	0	79
2024.02.05	00:21:00	0.85348	0.85351	0.85348	0.85350	7	0	80
2024.02.05	00:24:00	0.85351	0.85409	0.85351	0.85370	33	0	77
2024.02.05	00:27:00	0.85370	0.85370	0.85334	0.85354	22	0	69
2024.02.05	00:30:00	0.85351	0.85360	0.85347	0.85354	28	0	67
2024.02.05	00:33:00	0.85351	0.85354	0.85346	0.85352	21	0	45
2024.02.05	00:36:00	0.85351	0.85358	0.85346	0.85350	40	0	45
2024.02.05	00:39:00	0.85348	0.85360	0.85342	0.85359	80	0	45
2024.02.05	00:42:00	0.85360	0.85379	0.85358	0.85365	25	0	58
2024.02.05	00:45:00	0.85365	0.85371	0.85363	0.85370	13	0	54
2024.02.05	00:48:00	0.85358	0.85371	0.85317	0.85322	40	0	52
2024.02.05	00:51:00	0.85323	0.85323	0.85295	0.85299	39	0	73
2024.02.05	00:54:00	0.85298	0.85351	0.85298	0.85328	78	0	41
2024.02.05	00:57:00	0.85334	0.85370	0.85319	0.85329	73	0	26
2024.02.05	01:00:00	0.85319	0.85386	0.85319	0.85386	136	0	17
2024.02.05	01:03:00	0.85386	0.85406	0.85375	0.85403	90	0	15
2024.02.05	01:06:00	0.85404	0.85418	0.85399	0.85411	53	0	13
2024.02.05	01:09:00	0.85413	0.85417	0.85384	0.85395	71	0	15
2024.02.05	01:12:00	0.85395	0.85397	0.85386	0.85390	54	0	13
2024.02.05	01:15:00	0.85391	0.85396	0.85385	0.85386	39	0	14
2024.02.05	01:18:00	0.85386	0.85394	0.85386	0.85394	26	0	13
2024.02.05	01:21:00	0.85394	0.85396	0.85384	0.85384	30	0	13
2024.02.05	01:24:00	0.85384	0.85394	0.85380	0.85390	32	0	14
2024.02.05	01:27:00	0.85390	0.85393	0.85388	0.85389	11	0	13
2024.02.05	01:30:00	0.85389	0.85401	0.85388	0.85398	32	0	14
2024.02.05	01:33:00	0.85398	0.85402	0.85397	0.85402	25	0	13
2024.02.05	01:36:00	0.85402	0.85402	0.85389	0.85389	25	0	13
2024.02.05	01:39:00	0.85392	0.85392	0.85381	0.85383	23	0	13
2024.02.05	01:42:00	0.85381	0.85385	0.85380	0.85381	21	0	13
2024.02.05	01:45:00	0.85382	0.85385	0.85382	0.85384	18	0	13
2024.02.05	01:48:00	0.85384	0.85388	0.85383	0.85385	22	0	13
2024.02.05	01:51:00	0.85385	0.85388	0.85377	0.85386	38	0	14
2024.02.05	01:54:00	0.85386	0.85387	0.85377	0.85383	29	0	14
2024.02.05	01:57:00	0.85384	0.85399	0.85382	0.85399	25	0	13
2024.02.05	02:00:00	0.85403	0.85406	0.85383	0.85401	209	0	13
2024.02.05	02:03:00	0.85404	0.85413	0.85400	0.85400	80	0	15
2024.02.05	02:06:00	0.85400	0.85411	0.85392	0.85396	94	0	13
2024.02.05	02:09:00	0.85396	0.85404	0.85392	0.85404	101	0	13
2024.02.05	02:12:00	0.85404	0.85404	0.85393	0.85401	45	0	13
2024.02.05	02:15:00	0.85401	0.85402	0.85393	0.85400	63	0	14
2024.02.05	02:18:00	0.85401	0.85415	0.85393	0.85411	90	0	13
2024.02.05	02:21:00	0.85411	0.85430	0.85410	0.85427	87	0	13
2024.02.05	02:24:00	0.85428	0.85440	0.85413	0.85416	100	0	13
2024.02.05	02:27:00	0.85416	0.85420	0.85410	0.85417	72	0	13
2024.02.05	02:30:00	0.85418	0.85433	0.85417	0.85424	100	0	14
2024.02.05	02:33:00	0.85425	0.85436	0.85424	0.85431	69	0	13
2024.02.05	02:36:00	0.85431	0.85443	0.85431	0.85438	80	0	13
2024.02.05	02:39:00	0.85440	0.85443	0.85436	0.85443	66	0	13
2024.02.05	02:42:00	0.85443	0.85450	0.85442	0.85448	48	0	13
2024.02.05	02:45:00	0.85448	0.85448	0.85437	0.85442	81	0	13
2024.02.05	02:48:00	0.85442	0.85452	0.85442	0.85450	63	0	13
2024.02.05	02:51:00	0.85450	0.85454	0.85441	0.85445	74	0	14
2024.02.05	02:54:00	0.85445	0.85449	0.85433	0.85436	143	0	14
2024.02.05	02:57:00	0.85434	0.85434	0.85417	0.85427	72	0	13
2024.02.05	03:00:00	0.85427	0.85461	0.85427	0.85461	87	0	13
2024.02.05	03:03:00	0.85462	0.85471	0.85456	0.85471	75	0	13
2024.02.05	03:06:00	0.85471	0.85480	0.85469	0.85478	69	0	13
2024.02.05	03:09:00	0.85478	0.85486	0.85476	0.85481	60	0	13
2024.02.05	03:12:00	0.85482	0.85485	0.85477	0.85480	35	0	13
2024.02.05	03:15:00	0.85480	0.85481	0.85470	0.85473	43	0	13
2024.02.05	03:18:00	0.85473	0.85482	0.85471	0.85472	45	0	13
2024.02.05	03:21:00	0.85472	0.85473	0.85465	0.85467	29	0	13
2024.02.05	03:24:00	0.85467	0.85471	0.85466	0.85468	30	0	13
2024.02.05	03:27:00	0.85468	0.85475	0.85467	0.85475	32	0	13
2024.02.05	03:30:00	0.85476	0.85480	0.85472	0.85474	64	0	13
2024.02.05	03:33:00	0.85474	0.85479	0.85471	0.85475	46	0	14
2024.02.05	03:36:00	0.85473	0.85476	0.85471	0.85474	29	0	14
2024.02.05	03:39:00	0.85477	0.85477	0.85456	0.85456	36	0	13
2024.02.05	03:42:00	0.85456	0.85456	0.85446	0.85447	32	0	13
2024.02.05	03:45:00	0.85450	0.85457	0.85448	0.85455	67	0	13
2024.02.05	03:48:00	0.85456	0.85464	0.85456	0.85464	50	0	13
2024.02.05	03:51:00	0.85464	0.85464	0.85452	0.85452	78	0	13
2024.02.05	03:54:00	0.85454	0.85459	0.85450	0.85452	65	0	13
2024.02.05	03:57:00	0.85452	0.85459	0.85450	0.85459	65	0	13
2024.02.05	04:00:00	0.85458	0.85459	0.85450	0.85455	56	0	14
2024.02.05	04:03:00	0.85454	0.85462	0.85454	0.85461	51	0	13
2024.02.05	04:06:00	0.85461	0.85467	0.85460	0.85462	38	0	13
2024.02.05	04:09:00	0.85461	0.85479	0.85459	0.85478	72	0	13
2024.02.05	04:12:00	0.85477	0.85479	0.85471	0.85477	70	0	13
2024.02.05	04:15:00	0.85477	0.85479	0.85470	0.85474	95	0	13
2024.02.05	04:18:00	0.85473	0.85479	0.85472	0.85478	85	0	13
2024.02.05	04:21:00	0.85478	0.85488	0.85478	0.85488	37	0	13
2024.02.05	04:24:00	0.85488	0.85493	0.85485	0.85492	82	0	13
2024.02.05	04:27:00	0.85492	0.85493	0.85484	0.85491	53	0	14
2024.02.05	04:30:00	0.85492	0.85494	0.85489	0.85493	39	0	14
2024.02.05	04:33:00	0.85493	0.85494	0.85488	0.85489	41	0	13
2024.02.05	04:36:00	0.85490	0.85496	0.85490	0.85494	51	0	14
2024.02.05	04:39:00	0.85495	0.85506	0.85492	0.85504	75	0	13
2024.02.05	04:42:00	0.85504	0.85516	0.85503	0.85516	19	0	13
2024.02.05	04:45:00	0.85516	0.85519	0.85512	0.85513	26	0	13
2024.02.05	04:48:00	0.85513	0.85519	0.85512	0.85518	23	0	13
2024.02.05	04:51:00	0.85520	0.85521	0.85512	0.85512	29	0	13
2024.02.05	04:54:00	0.85512	0.85516	0.85507	0.85513	27	0	13
2024.02.05	04:57:00	0.85514	0.85526	0.85512	0.85522	35	0	13
2024.02.05	05:00:00	0.85522	0.85532	0.85522	0.85532	37	0	14
2024.02.05	05:03:00	0.85532	0.85532	0.85523	0.85525	39	0	13
2024.02.05	05:06:00	0.85525	0.85528	0.85509	0.85511	47	0	14
2024.02.05	05:09:00	0.85511	0.85511	0.85484	0.85484	52	0	13
2024.02.05	05:12:00	0.85485	0.85488	0.85479	0.85488	46	0	13
2024.02.05	05:15:00	0.85486	0.85493	0.85479	0.85479	35	0	14
2024.02.05	05:18:00	0.85479	0.85487	0.85478	0.85485	20	0	13
2024.02.05	05:21:00	0.85485	0.85485	0.85475	0.85482	26	0	14
2024.02.05	05:24:00	0.85481	0.85494	0.85480	0.85492	39	0	13
2024.02.05	05:27:00	0.85493	0.85497	0.85491	0.85491	23	0	13
2024.02.05	05:30:00	0.85491	0.85495	0.85487	0.85490	33	0	14
2024.02.05	05:33:00	0.85490	0.85490	0.85476	0.85478	34	0	14
2024.02.05	05:36:00	0.85479	0.85481	0.85475	0.85475	36	0	13
2024.02.05	05:39:00	0.85476	0.85476	0.85468	0.85468	52	0	13
2024.02.05	05:42:00	0.85469	0.85474	0.85466	0.85473	83	0	13
2024.02.05	05:45:00	0.85474	0.85474	0.85466	0.85467	73	0	13
2024.02.05	05:48:00	0.85467	0.85472	0.85463	0.85465	42	0	13
2024.02.05	05:51:00	0.85465	0.85466	0.85461	0.85462	24	0	14
2024.02.05	05:54:00	0.85463	0.85466	0.85457	0.85459	19	0	13
2024.02.05	05:57:00	0.85459	0.85464	0.85458	0.85463	53	0	13
2024.02.05	06:00:00	0.85462	0.85465	0.85462	0.85464	34	0	13
2024.02.05	06:03:00	0.85465	0.85467	0.85464	0.85467	7	0	13
2024.02.05	06:06:00	0.85467	0.85470	0.85467	0.85467	24	0	13
2024.02.05	06:09:00	0.85467	0.85473	0.85467	0.85468	23	0	13
2024.02.05	06:12:00	0.85468	0.85471	0.85466	0.85468	16	0	13
2024.02.05	06:15:00	0.85467	0.85468	0.85463	0.85467	12	0	13
2024.02.05	06:18:00	0.85467	0.85470	0.85465	0.85468	13	0	13
2024.02.05	06:21:00	0.85468	0.85468	0.85462	0.85467	20	0	13
2024.02.05	06:24:00	0.85467	0.85469	0.85464	0.85464	30	0	13
2024.02.05	06:27:00	0.85464	0.85467	0.85464	0.85466	18	0	13
2024.02.05	06:30:00	0.85466	0.85469	0.85463	0.85469	18	0	13
2024.02.05	06:33:00	0.85469	0.85477	0.85464	0.85477	50	0	13
2024.02.05	06:36:00	0.85477	0.85481	0.85477	0.85478	18	0	14
2024.02.05	06:39:00	0.85479	0.85484	0.85478	0.85480	25	0	13
2024.02.05	06:42:00	0.85480	0.85480	0.85475	0.85477	35	0	13
2024.02.05	06:45:00	0.85478	0.85478	0.85469	0.85469	17	0	13
2024.02.05	06:48:00	0.85469	0.85476	0.85469	0.85476	14	0	13
2024.02.05	06:51:00	0.85476	0.85478	0.85473	0.85477	64	0	14
2024.02.05	06:54:00	0.85476	0.85479	0.85473	0.85478	42	0	13
2024.02.05	06:57:00	0.85478	0.85486	0.85477	0.85484	37	0	14
2024.02.05	07:00:00	0.85484	0.85484	0.85473	0.85473	37	0	13
2024.02.05	07:03:00	0.85474	0.85478	0.85472	0.85476	19	0	14
2024.02.05	07:06:00	0.85476	0.85476	0.85465	0.85465	28	0	14
2024.02.05	07:09:00	0.85465	0.85470	0.85462	0.85470	54	0	15
2024.02.05	07:12:00	0.85469	0.85472	0.85468	0.85472	32	0	14
2024.02.05	07:15:00	0.85472	0.85472	0.85467	0.85472	37	0	13
2024.02.05	07:18:00	0.85472	0.85472	0.85461	0.85462	32	0	13
2024.02.05	07:21:00	0.85462	0.85462	0.85457	0.85458	24	0	13
2024.02.05	07:24:00	0.85458	0.85462	0.85458	0.85459	20	0	13
2024.02.05	07:27:00	0.85459	0.85464	0.85458	0.85464	20	0	13
2024.02.05	07:30:00	0.85464	0.85464	0.85459	0.85459	41	0	13
2024.02.05	07:33:00	0.85459	0.85465	0.85458	0.85460	22	0	13
2024.02.05	07:36:00	0.85458	0.85465	0.85458	0.85465	20	0	13
2024.02.05	07:39:00	0.85465	0.85472	0.85464	0.85472	30	0	13
2024.02.05	07:42:00	0.85472	0.85474	0.85468	0.85469	37	0	13
2024.02.05	07:45:00	0.85469	0.85474	0.85468	0.85471	20	0	13
2024.02.05	07:48:00	0.85470	0.85470	0.85464	0.85464	30	0	13
2024.02.05	07:51:00	0.85465	0.85467	0.85460	0.85460	38	0	14
2024.02.05	07:54:00	0.85461	0.85478	0.85461	0.85475	45	0	13
2024.02.05	07:57:00	0.85474	0.85488	0.85472	0.85488	38	0	13
2024.02.05	08:00:00	0.85488	0.85488	0.85477	0.85477	56	0	13
2024.02.05	08:03:00	0.85477	0.85477	0.85469	0.85470	35	0	13
2024.02.05	08:06:00	0.85470	0.85489	0.85470	0.85488	50	0	13
2024.02.05	08:09:00	0.85488	0.85488	0.85483	0.85484	21	0	13
2024.02.05	08:12:00	0.85484	0.85491	0.85483	0.85491	26	0	13
2024.02.05	08:15:00	0.85491	0.85491	0.85487	0.85489	19	0	13
2024.02.05	08:18:00	0.85489	0.85490	0.85477	0.85480	27	0	13
2024.02.05	08:21:00	0.85480	0.85483	0.85478	0.85479	24	0	13
2024.02.05	08:24:00	0.85479	0.85481	0.85477	0.85478	30	0	13
2024.02.05	08:27:00	0.85478	0.85478	0.85474	0.85477	55	0	13
2024.02.05	08:30:00	0.85478	0.85478	0.85454	0.85457	67	0	13
2024.02.05	08:33:00	0.85459	0.85465	0.85456	0.85461	55	0	13
2024.02.05	08:36:00	0.85461	0.85465	0.85457	0.85458	39	0	13
2024.02.05	08:39:00	0.85458	0.85461	0.85458	0.85461	24	0	13
2024.02.05	08:42:00	0.85461	0.85470	0.85459	0.85461	56	0	13
2024.02.05	08:45:00	0.85461	0.85469	0.85458	0.85468	61	0	13
2024.02.05	08:48:00	0.85468	0.85469	0.85462	0.85464	27	0	13
2024.02.05	08:51:00	0.85466	0.85468	0.85463	0.85465	54	0	13
2024.02.05	08:54:00	0.85465	0.85469	0.85463	0.85467	35	0	13
2024.02.05	08:57:00	0.85467	0.85468	0.85444	0.85452	143	0	13
2024.02.05	09:00:00	0.85454	0.85467	0.85448	0.85465	217	0	13
2024.02.05	09:03:00	0.85465	0.85468	0.85447	0.85454	135	0	13
2024.02.05	09:06:00	0.85452	0.85455	0.85442	0.85452	83	0	13
2024.02.05	09:09:00	0.85450	0.85450	0.85427	0.85431	56	0	13
2024.02.05	09:12:00	0.85431	0.85437	0.85420	0.85425	118	0	13
2024.02.05	09:15:00	0.85424	0.85429	0.85416	0.85424	76	0	14
2024.02.05	09:18:00	0.85424	0.85428	0.85419	0.85423	59	0	13
2024.02.05	09:21:00	0.85422	0.85424	0.85405	0.85415	80	0	13
2024.02.05	09:24:00	0.85415	0.85415	0.85394	0.85396	144	0	13
2024.02.05	09:27:00	0.85396	0.85407	0.85395	0.85402	72	0	13
2024.02.05	09:30:00	0.85402	0.85403	0.85388	0.85397	59	0	13
2024.02.05	09:33:00	0.85395	0.85414	0.85391	0.85403	97	0	13
2024.02.05	09:36:00	0.85403	0.85412	0.85403	0.85404	89	0	13
2024.02.05	09:39:00	0.85404	0.85411	0.85401	0.85409	96	0	13
2024.02.05	09:42:00	0.85409	0.85425	0.85409	0.85416	125	0	13
2024.02.05	09:45:00	0.85416	0.85425	0.85416	0.85418	79	0	13
2024.02.05	09:48:00	0.85419	0.85427	0.85412	0.85424	69	0	13
2024.02.05	09:51:00	0.85424	0.85432	0.85423	0.85427	67	0	13
2024.02.05	09:54:00	0.85422	0.85432	0.85421	0.85431	72	0	13
2024.02.05	09:57:00	0.85431	0.85441	0.85428	0.85439	77	0	13
2024.02.05	10:00:00	0.85439	0.85441	0.85407	0.85418	155	0	13
2024.02.05	10:03:00	0.85418	0.85422	0.85403	0.85406	139	0	13
2024.02.05	10:06:00	0.85405	0.85407	0.85371	0.85371	155	0	13
2024.02.05	10:09:00	0.85372	0.85411	0.85371	0.85405	158	0	13
2024.02.05	10:12:00	0.85405	0.85408	0.85397	0.85406	85	0	13
2024.02.05	10:15:00	0.85406	0.85422	0.85406	0.85410	116	0	13
2024.02.05	10:18:00	0.85410	0.85431	0.85407	0.85429	86	0	13
2024.02.05	10:21:00	0.85428	0.85436	0.85419	0.85428	79	0	13
2024.02.05	10:24:00	0.85428	0.85428	0.85408	0.85408	77	0	13
2024.02.05	10:27:00	0.85408	0.85418	0.85383	0.85383	122	0	13
2024.02.05	10:30:00	0.85383	0.85386	0.85369	0.85380	132	0	13
2024.02.05	10:33:00	0.85380	0.85392	0.85369	0.85370	88	0	13
2024.02.05	10:36:00	0.85370	0.85390	0.85366	0.85386	76	0	13
2024.02.05	10:39:00	0.85387	0.85389	0.85365	0.85368	82	0	13
2024.02.05	10:42:00	0.85368	0.85372	0.85357	0.85358	89	0	13
