<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.29	01:00:00	2024.17	2026.26	2021.32	2024.60	254	0	55
2024.01.29	01:02:00	2024.54	2025.50	2023.72	2023.93	151	0	20
2024.01.29	01:04:00	2023.93	2024.88	2023.18	2024.14	253	0	17
2024.01.29	01:06:00	2024.19	2026.11	2024.19	2025.69	171	0	17
2024.01.29	01:08:00	2025.70	2026.55	2024.13	2026.14	156	0	17
2024.01.29	01:10:00	2026.24	2026.47	2024.16	2024.24	166	0	17
2024.01.29	01:12:00	2024.25	2024.74	2023.31	2023.82	163	0	17
2024.01.29	01:14:00	2023.82	2024.31	2023.50	2023.57	184	0	17
2024.01.29	01:16:00	2023.57	2024.56	2023.50	2024.55	160	0	17
2024.01.29	01:18:00	2024.74	2024.84	2024.35	2024.59	155	0	17
2024.01.29	01:20:00	2024.52	2025.61	2024.30	2025.41	191	0	17
2024.01.29	01:22:00	2025.41	2026.13	2025.19	2025.48	176	0	17
2024.01.29	01:24:00	2025.48	2025.82	2025.08	2025.77	130	0	17
2024.01.29	01:26:00	2025.84	2026.60	2025.56	2026.57	117	0	17
2024.01.29	01:28:00	2026.57	2028.35	2026.32	2027.30	203	0	17
2024.01.29	01:30:00	2027.31	2027.32	2023.95	2024.62	205	0	17
2024.01.29	01:32:00	2024.76	2024.78	2023.94	2024.13	117	0	17
2024.01.29	01:34:00	2024.17	2024.17	2023.43	2023.54	105	0	17
2024.01.29	01:36:00	2023.55	2024.14	2023.12	2024.03	103	0	17
2024.01.29	01:38:00	2024.17	2024.38	2023.87	2024.19	69	0	17
2024.01.29	01:40:00	2024.16	2024.37	2023.89	2023.99	60	0	17
2024.01.29	01:42:00	2024.05	2024.20	2023.68	2024.11	74	0	23
2024.01.29	01:44:00	2024.11	2024.11	2022.31	2022.31	110	0	17
2024.01.29	01:46:00	2022.31	2022.80	2021.43	2021.44	162	0	17
2024.01.29	01:48:00	2021.46	2021.80	2021.17	2021.77	140	0	19
2024.01.29	01:50:00	2021.79	2021.83	2021.47	2021.48	60	0	26
2024.01.29	01:52:00	2021.62	2022.09	2021.47	2021.52	70	0	26
2024.01.29	01:54:00	2021.53	2022.55	2021.51	2022.43	59	0	19
2024.01.29	01:56:00	2022.43	2022.53	2021.98	2022.18	54	0	20
2024.01.29	01:58:00	2022.16	2022.31	2021.61	2021.78	64	0	23
2024.01.29	02:00:00	2021.84	2021.84	2021.03	2021.21	97	0	17
2024.01.29	02:02:00	2021.19	2021.45	2020.94	2021.45	109	0	17
2024.01.29	02:04:00	2021.45	2021.50	2021.17	2021.27	76	0	20
2024.01.29	02:06:00	2021.28	2021.37	2020.74	2020.83	39	0	27
2024.01.29	02:08:00	2020.85	2021.33	2020.46	2021.03	95	0	17
2024.01.29	02:10:00	2021.02	2021.50	2020.59	2020.81	107	0	17
2024.01.29	02:12:00	2020.83	2021.05	2020.58	2020.93	90	0	17
2024.01.29	02:14:00	2020.97	2021.36	2020.80	2021.36	81	0	17
2024.01.29	02:16:00	2021.46	2022.03	2021.44	2021.85	120	0	17
2024.01.29	02:18:00	2021.90	2021.90	2021.56	2021.61	85	0	17
2024.01.29	02:20:00	2021.63	2021.88	2021.52	2021.52	74	0	17
2024.01.29	02:22:00	2021.37	2021.55	2021.11	2021.16	66	0	17
2024.01.29	02:24:00	2021.26	2021.26	2020.38	2020.43	70	0	17
2024.01.29	02:26:00	2020.43	2020.43	2019.32	2019.95	154	0	17
2024.01.29	02:28:00	2019.96	2020.20	2019.68	2019.94	116	0	17
2024.01.29	02:30:00	2019.94	2020.08	2019.60	2019.79	126	0	17
2024.01.29	02:32:00	2019.82	2020.04	2019.44	2019.95	140	0	17
2024.01.29	02:34:00	2019.96	2020.14	2019.42	2019.50	103	0	17
2024.01.29	02:36:00	2019.50	2019.64	2019.33	2019.51	79	0	18
2024.01.29	02:38:00	2019.52	2019.84	2019.24	2019.57	108	0	22
2024.01.29	02:40:00	2019.56	2020.49	2019.53	2019.83	156	0	17
2024.01.29	02:42:00	2019.86	2020.12	2019.46	2020.12	95	0	17
2024.01.29	02:44:00	2020.13	2020.19	2019.67	2020.09	93	0	17
2024.01.29	02:46:00	2020.13	2021.38	2019.99	2021.23	143	0	17
2024.01.29	02:48:00	2021.26	2021.38	2020.68	2020.72	109	0	17
