<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.05	00:00:00	18.84450	18.87945	18.82100	18.87945	71	0	3100
2024.02.05	00:02:00	18.84450	18.87945	18.82100	18.87945	85	0	3100
2024.02.05	00:04:00	18.84320	18.87945	18.84320	18.87945	13	0	3100
2024.02.05	00:06:00	18.84450	18.87945	18.84450	18.84629	25	0	3100
2024.02.05	00:08:00	18.87945	18.87945	18.84450	18.87945	29	0	3100
2024.02.05	00:10:00	18.84477	18.87945	18.84477	18.87945	33	0	3100
2024.02.05	00:12:00	18.84477	18.87945	18.84477	18.87945	31	0	3100
2024.02.05	00:14:00	18.87945	18.87945	18.84563	18.87945	31	0	3100
2024.02.05	00:16:00	18.85510	18.87945	18.84477	18.87945	32	0	3100
2024.02.05	00:18:00	18.84477	18.87945	18.84477	18.87945	29	0	3100
2024.02.05	00:20:00	18.85183	18.87945	18.84477	18.87945	31	0	3100
2024.02.05	00:22:00	18.84570	18.87945	18.84477	18.87945	27	0	3100
2024.02.05	00:24:00	18.87945	18.87945	18.84477	18.87945	25	0	3100
2024.02.05	00:26:00	18.84570	18.87945	18.84477	18.87945	24	0	3100
2024.02.05	00:28:00	18.84477	18.87945	18.84477	18.87945	16	0	3100
2024.02.05	00:30:00	18.87945	18.88422	18.83549	18.87945	268	0	3100
2024.02.05	00:32:00	18.87659	18.88192	18.83502	18.83558	268	0	3100
2024.02.05	00:34:00	18.87691	18.89345	18.83558	18.87274	202	0	3100
2024.02.05	00:36:00	18.85490	18.85524	18.85434	18.85434	3	0	3100
2024.02.05	00:38:00	18.85434	18.85434	18.85434	18.85434	1	0	3100
2024.02.05	00:40:00	18.85666	18.88268	18.85666	18.87939	40	0	3100
2024.02.05	00:42:00	18.87631	18.88300	18.87450	18.87450	346	0	3100
2024.02.05	00:44:00	18.87680	18.88331	18.87450	18.88124	794	0	3100
2024.02.05	00:46:00	18.87529	18.88301	18.87473	18.87706	595	0	3100
2024.02.05	00:48:00	18.87706	18.87706	18.87706	18.87706	1	0	3100
2024.02.05	00:50:00	18.87706	18.88065	18.87702	18.88031	5	0	3100
2024.02.05	00:52:00	18.88031	18.88031	18.88031	18.88031	1	0	3100
2024.02.05	00:54:00	18.88200	18.88200	18.88101	18.88101	3	0	3100
2024.02.05	00:56:00	18.88195	18.88195	18.88195	18.88195	2	0	3100
2024.02.05	00:58:00	18.88195	18.88195	18.88075	18.88075	2	0	3100
2024.02.05	01:00:00	18.88428	18.88970	18.87760	18.88740	9	0	3100
2024.02.05	01:02:00	18.89053	18.89170	18.89053	18.89170	3	0	3100
