<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.06	12:00:00	18.96121	18.96430	18.95805	18.95897	64	0	100
2024.02.06	12:02:00	18.95602	18.95880	18.94565	18.95842	114	0	233
2024.02.06	12:04:00	18.95844	18.96392	18.95844	18.96169	33	0	100
2024.02.06	12:06:00	18.96170	18.96173	18.95527	18.96170	42	0	269
2024.02.06	12:08:00	18.96170	18.96877	18.96170	18.96643	55	0	181
2024.02.06	12:10:00	18.96643	18.96846	18.96338	18.96562	79	0	234
2024.02.06	12:12:00	18.96562	18.96562	18.95384	18.95708	59	0	232
2024.02.06	12:14:00	18.95758	18.96008	18.95479	18.95750	61	0	188
2024.02.06	12:16:00	18.95740	18.95783	18.95485	18.95708	44	0	203
2024.02.06	12:18:00	18.95658	18.96367	18.95591	18.96013	64	0	100
2024.02.06	12:20:00	18.96013	18.96578	18.95613	18.96498	95	0	170
2024.02.06	12:22:00	18.96498	18.96848	18.95493	18.95548	62	0	100
2024.02.06	12:24:00	18.95548	18.95815	18.95330	18.95796	65	0	252
2024.02.06	12:26:00	18.95774	18.96188	18.95726	18.95973	146	0	203
2024.02.06	12:28:00	18.95950	18.96091	18.95939	18.96006	53	0	279
2024.02.06	12:30:00	18.95994	18.96151	18.95670	18.95830	99	0	167
2024.02.06	12:32:00	18.95830	18.95908	18.95706	18.95852	83	0	192
2024.02.06	12:34:00	18.95788	18.96630	18.95724	18.96592	97	0	165
2024.02.06	12:36:00	18.96576	18.96654	18.95995	18.96230	101	0	100
2024.02.06	12:38:00	18.96245	18.96930	18.96172	18.96467	187	0	100
2024.02.06	12:40:00	18.96450	18.96842	18.96450	18.96765	48	0	283
2024.02.06	12:42:00	18.96765	18.97439	18.96500	18.97366	80	0	198
2024.02.06	12:44:00	18.97328	18.97700	18.97099	18.97177	103	0	141
2024.02.06	12:46:00	18.97197	18.98659	18.97083	18.97898	136	0	100
2024.02.06	12:48:00	18.97898	18.98059	18.97340	18.97538	71	0	100
2024.02.06	12:50:00	18.97549	18.98596	18.97333	18.98039	183	0	100
2024.02.06	12:52:00	18.98039	18.98898	18.97694	18.97879	107	0	281
2024.02.06	12:54:00	18.97879	18.97999	18.97778	18.97916	27	0	330
2024.02.06	12:56:00	18.98028	18.99278	18.98028	18.99248	40	0	131
2024.02.06	12:58:00	18.99438	18.99868	18.99205	18.99734	80	0	300
2024.02.06	13:00:00	18.99777	19.00053	18.98509	18.98670	105	0	218
2024.02.06	13:02:00	18.98670	18.99147	18.98670	18.99090	94	0	205
2024.02.06	13:04:00	18.99090	19.00798	18.98977	19.00347	108	0	165
2024.02.06	13:06:00	19.00347	19.00527	19.00277	19.00450	77	0	100
2024.02.06	13:08:00	19.00450	19.00542	19.00361	19.00361	34	0	287
2024.02.06	13:10:00	19.00395	19.00688	18.99945	19.00302	95	0	224
2024.02.06	13:12:00	19.00276	19.00558	18.99734	19.00398	90	0	100
2024.02.06	13:14:00	19.00428	19.00428	18.99458	19.00228	109	0	141
2024.02.06	13:16:00	19.00248	19.00408	19.00122	19.00215	58	0	144
2024.02.06	13:18:00	19.00219	19.00246	19.00069	19.00159	18	0	212
2024.02.06	13:20:00	19.00134	19.00134	18.99319	18.99319	117	0	104
2024.02.06	13:22:00	18.99319	18.99319	18.98055	18.98064	135	0	164
2024.02.06	13:24:00	18.98064	18.98478	18.97588	18.97969	73	0	100
2024.02.06	13:26:00	18.97969	18.98258	18.97337	18.97645	135	0	109
2024.02.06	13:28:00	18.97668	18.97818	18.97540	18.97655	39	0	124
2024.02.06	13:30:00	18.97671	18.97813	18.97593	18.97688	39	0	100
2024.02.06	13:32:00	18.97661	18.97877	18.97382	18.97558	20	0	104
2024.02.06	13:34:00	18.97558	18.98054	18.97427	18.97598	79	0	126
2024.02.06	13:36:00	18.97608	18.97822	18.97398	18.97478	159	0	100
2024.02.06	13:38:00	18.97468	18.97621	18.96112	18.96248	181	0	176
2024.02.06	13:40:00	18.96288	18.96318	18.95157	18.95188	108	0	100
2024.02.06	13:42:00	18.95198	18.95348	18.95034	18.95036	212	0	101
2024.02.06	13:44:00	18.95036	18.95855	18.94813	18.95698	211	0	100
2024.02.06	13:46:00	18.95681	18.95706	18.94597	18.94774	130	0	144
2024.02.06	13:48:00	18.94785	18.94923	18.94407	18.94628	63	0	248
2024.02.06	13:50:00	18.94661	18.94726	18.94416	18.94618	86	0	230
2024.02.06	13:52:00	18.94588	18.94942	18.94548	18.94650	60	0	255
2024.02.06	13:54:00	18.94650	18.95190	18.94598	18.94926	117	0	104
2024.02.06	13:56:00	18.94928	18.94979	18.94545	18.94848	136	0	203
2024.02.06	13:58:00	18.94828	18.95177	18.94828	18.95177	125	0	155
2024.02.06	14:00:00	18.95147	18.95866	18.95048	18.95808	123	0	104
2024.02.06	14:02:00	18.95838	18.95858	18.95193	18.95224	97	0	152
2024.02.06	14:04:00	18.95224	18.95808	18.95218	18.95788	96	0	100
2024.02.06	14:06:00	18.95788	18.96228	18.95758	18.96115	181	0	149
2024.02.06	14:08:00	18.96083	18.96336	18.95943	18.96314	77	0	100
2024.02.06	14:10:00	18.96328	18.96328	18.95923	18.96156	138	0	154
2024.02.06	14:12:00	18.96119	18.96173	18.95857	18.96067	113	0	154
2024.02.06	14:14:00	18.96060	18.96149	18.95964	18.95973	75	0	154
2024.02.06	14:16:00	18.95979	18.96145	18.95921	18.96145	71	0	154
2024.02.06	14:18:00	18.96138	18.96328	18.96008	18.96298	79	0	104
2024.02.06	14:20:00	18.96288	18.97793	18.96168	18.97594	79	0	100
2024.02.06	14:22:00	18.97594	18.97818	18.97536	18.97536	35	0	234
2024.02.06	14:24:00	18.97536	18.98204	18.97536	18.98074	88	0	174
2024.02.06	14:26:00	18.98074	18.98108	18.97818	18.97847	56	0	134
2024.02.06	14:28:00	18.97968	18.98041	18.97818	18.97892	43	0	234
2024.02.06	14:30:00	18.97862	18.98525	18.97862	18.98342	77	0	100
2024.02.06	14:32:00	18.98377	18.98715	18.98342	18.98598	68	0	197
2024.02.06	14:34:00	18.98598	18.98620	18.97945	18.98378	40	0	154
2024.02.06	14:36:00	18.98388	18.98918	18.98378	18.98394	78	0	100
2024.02.06	14:38:00	18.98387	18.98720	18.97316	18.97524	82	0	100
2024.02.06	14:40:00	18.97524	18.97524	18.97048	18.97098	58	0	326
2024.02.06	14:42:00	18.97098	18.97238	18.96908	18.96908	24	0	100
2024.02.06	14:44:00	18.96924	18.96924	18.95630	18.95962	54	0	165
2024.02.06	14:46:00	18.95878	18.95878	18.95182	18.95182	36	0	106
2024.02.06	14:48:00	18.95182	18.95427	18.95026	18.95170	40	0	200
2024.02.06	14:50:00	18.95170	18.95448	18.95124	18.95336	25	0	268
2024.02.06	14:52:00	18.95336	18.96116	18.95315	18.95945	64	0	194
2024.02.06	14:54:00	18.95945	18.95945	18.95830	18.95851	24	0	239
2024.02.06	14:56:00	18.95851	18.95851	18.94750	18.95098	41	0	224
2024.02.06	14:58:00	18.95118	18.95228	18.94508	18.95155	107	0	109
2024.02.06	15:00:00	18.95128	18.95178	18.94288	18.95118	116	0	268
2024.02.06	15:02:00	18.95118	18.95349	18.94551	18.95338	90	0	231
2024.02.06	15:04:00	18.95338	18.95349	18.92998	18.93083	165	0	100
2024.02.06	15:06:00	18.93035	18.93035	18.91458	18.92112	274	0	100
2024.02.06	15:08:00	18.92070	18.92364	18.91638	18.92014	354	0	100
2024.02.06	15:10:00	18.91961	18.93478	18.91961	18.93248	280	0	124
2024.02.06	15:12:00	18.93248	18.93598	18.92301	18.92428	278	0	100
2024.02.06	15:14:00	18.92438	18.93038	18.92328	18.92756	345	0	144
2024.02.06	15:16:00	18.92763	18.93218	18.91618	18.92084	286	0	144
2024.02.06	15:18:00	18.92137	18.93134	18.92137	18.92946	168	0	100
2024.02.06	15:20:00	18.92960	18.94140	18.92829	18.94018	213	0	100
2024.02.06	15:22:00	18.93998	18.94055	18.93008	18.93062	204	0	187
2024.02.06	15:24:00	18.93038	18.93930	18.93033	18.93845	232	0	100
2024.02.06	15:26:00	18.93835	18.94608	18.93429	18.94588	260	0	100
2024.02.06	15:28:00	18.94588	18.95377	18.94518	18.94912	298	0	100
2024.02.06	15:30:00	18.94888	18.94888	18.94002	18.94538	173	0	237
2024.02.06	15:32:00	18.94578	18.94748	18.94125	18.94686	173	0	176
2024.02.06	15:34:00	18.94683	18.94798	18.94321	18.94778	103	0	141
2024.02.06	15:36:00	18.94778	18.94798	18.94345	18.94569	158	0	304
2024.02.06	15:38:00	18.94569	18.95658	18.94347	18.95438	111	0	100
2024.02.06	15:40:00	18.95408	18.95598	18.94455	18.95512	175	0	134
2024.02.06	15:42:00	18.95512	18.96271	18.95466	18.96099	77	0	100
2024.02.06	15:44:00	18.96099	18.96642	18.95548	18.96248	59	0	120
2024.02.06	15:46:00	18.96286	18.96758	18.96136	18.96264	75	0	204
2024.02.06	15:48:00	18.96269	18.96304	18.95654	18.95898	67	0	100
2024.02.06	15:50:00	18.95879	18.96681	18.95211	18.96681	81	0	100
2024.02.06	15:52:00	18.96668	18.96688	18.96009	18.96188	74	0	100
2024.02.06	15:54:00	18.96188	18.96188	18.95949	18.96053	79	0	100
2024.02.06	15:56:00	18.96120	18.96325	18.95343	18.95735	160	0	100
2024.02.06	15:58:00	18.95708	18.96168	18.95610	18.95780	169	0	237
2024.02.06	16:00:00	18.95827	18.96258	18.95306	18.95333	124	0	100
2024.02.06	16:02:00	18.95333	18.95570	18.95223	18.95228	144	0	100
2024.02.06	16:04:00	18.95248	18.95448	18.95078	18.95306	137	0	194
2024.02.06	16:06:00	18.95306	18.95438	18.95161	18.95164	67	0	119
2024.02.06	16:08:00	18.95195	18.95484	18.95164	18.95384	104	0	100
2024.02.06	16:10:00	18.95388	18.95840	18.95310	18.95789	144	0	238
2024.02.06	16:12:00	18.95789	18.96200	18.95704	18.96018	269	0	154
2024.02.06	16:14:00	18.96032	18.96708	18.95818	18.96618	278	0	117
2024.02.06	16:16:00	18.96628	18.96697	18.96121	18.96254	242	0	100
2024.02.06	16:18:00	18.96268	18.97263	18.96198	18.97033	177	0	100
2024.02.06	16:20:00	18.97026	18.97420	18.97002	18.97391	122	0	174
2024.02.06	16:22:00	18.97391	18.97468	18.97058	18.97208	165	0	100
2024.02.06	16:24:00	18.97188	18.97732	18.96663	18.97138	162	0	100
2024.02.06	16:26:00	18.97138	18.97319	18.95892	18.96606	103	0	100
2024.02.06	16:28:00	18.96606	18.97812	18.96092	18.97388	129	0	149
2024.02.06	16:30:00	18.97343	18.97343	18.96207	18.96468	188	0	100
2024.02.06	16:32:00	18.96468	18.96808	18.95698	18.95698	178	0	100
2024.02.06	16:34:00	18.95698	18.96098	18.95668	18.95829	144	0	280
2024.02.06	16:36:00	18.95829	18.97018	18.95751	18.96018	317	0	134
2024.02.06	16:38:00	18.96038	18.96098	18.95618	18.95728	244	0	100
2024.02.06	16:40:00	18.95728	18.95808	18.94991	18.95016	147	0	214
2024.02.06	16:42:00	18.94992	18.95029	18.93358	18.93554	153	0	100
2024.02.06	16:44:00	18.93529	18.93821	18.93016	18.93016	112	0	100
2024.02.06	16:46:00	18.92878	18.92918	18.91889	18.91977	167	0	100
2024.02.06	16:48:00	18.91982	18.92585	18.91718	18.91778	142	0	162
2024.02.06	16:50:00	18.91778	18.92588	18.91536	18.92003	184	0	100
2024.02.06	16:52:00	18.92003	18.92098	18.90610	18.91172	196	0	162
2024.02.06	16:54:00	18.91140	18.91253	18.90714	18.90865	306	0	130
2024.02.06	16:56:00	18.90865	18.91198	18.90574	18.90861	249	0	104
2024.02.06	16:58:00	18.90658	18.91723	18.90558	18.91714	350	0	124
2024.02.06	17:00:00	18.91714	18.92373	18.91588	18.91789	164	0	100
2024.02.06	17:02:00	18.91812	18.92655	18.91812	18.92432	317	0	100
2024.02.06	17:04:00	18.92428	18.93240	18.91773	18.93218	258	0	144
2024.02.06	17:06:00	18.93208	18.93337	18.91413	18.91455	228	0	100
2024.02.06	17:08:00	18.91424	18.91485	18.90153	18.90618	139	0	230
