<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.06	00:00:00	19.05340	19.05610	19.05340	19.05610	4	0	3100
2024.02.06	00:02:00	19.06630	19.06630	19.05505	19.05505	7	0	2400
2024.02.06	00:04:00	19.05505	19.05560	19.05505	19.05560	2	0	3100
2024.02.06	00:06:00	19.05560	19.05560	19.05560	19.05560	1	0	3100
2024.02.06	00:08:00	19.05560	19.05560	19.05560	19.05560	1	0	3100
2024.02.06	00:10:00	19.05560	19.05560	19.05560	19.05560	1	0	3100
2024.02.06	00:12:00	19.05505	19.05505	19.05505	19.05505	1	0	3100
2024.02.06	00:16:00	19.05505	19.05505	19.05505	19.05505	1	0	3100
2024.02.06	00:22:00	19.04879	19.04879	19.04879	19.04879	1	0	5991
2024.02.06	00:24:00	19.05505	19.05505	19.05505	19.05505	1	0	3100
2024.02.06	00:28:00	19.04879	19.05505	19.04879	19.05505	2	0	3100
2024.02.06	00:32:00	19.05552	19.05924	19.05505	19.05857	7	0	2866
2024.02.06	00:34:00	19.05857	19.05857	19.05857	19.05857	1	0	2933
2024.02.06	00:36:00	19.06045	19.06045	19.05854	19.05854	2	0	2745
2024.02.06	00:38:00	19.05994	19.05994	19.05994	19.05994	1	0	3770
2024.02.06	00:40:00	19.05604	19.06025	19.05604	19.06025	3	0	2765
2024.02.06	00:42:00	19.05826	19.06245	19.05621	19.05855	6	0	2545
2024.02.06	00:44:00	19.05647	19.05647	19.05647	19.05647	1	0	3100
2024.02.06	00:46:00	19.05505	19.05505	19.05505	19.05505	1	0	3100
2024.02.06	00:48:00	19.05160	19.06156	19.04820	19.05970	41	0	1214
2024.02.06	00:50:00	19.06161	19.06217	19.05114	19.06080	22	0	1209
2024.02.06	00:52:00	19.06080	19.06670	19.04954	19.06131	30	0	1045
2024.02.06	00:54:00	19.06131	19.06385	19.04904	19.06385	11	0	1369
2024.02.06	00:56:00	19.06165	19.06165	19.05929	19.05929	3	0	2855
2024.02.06	00:58:00	19.06028	19.06150	19.04932	19.06088	15	0	1379
2024.02.06	01:00:00	19.06164	19.06164	19.04848	19.05328	77	0	2004
2024.02.06	01:02:00	19.05428	19.07138	19.04858	19.05518	47	0	1344
2024.02.06	01:04:00	19.05668	19.06938	19.05078	19.06898	54	0	263
2024.02.06	01:06:00	19.06898	19.06898	19.06398	19.06898	48	0	646
2024.02.06	01:08:00	19.06898	19.06898	19.05068	19.05688	106	0	1033
2024.02.06	01:10:00	19.05628	19.07308	19.05135	19.07248	43	0	930
2024.02.06	01:12:00	19.07148	19.07318	19.06398	19.07318	88	0	800
2024.02.06	01:14:00	19.07248	19.07318	19.05018	19.05898	85	0	817
2024.02.06	01:16:00	19.05798	19.05998	19.05038	19.05798	66	0	1973
2024.02.06	01:18:00	19.05798	19.07279	19.05048	19.05808	72	0	1094
2024.02.06	01:20:00	19.05808	19.05968	19.05048	19.05788	56	0	2227
2024.02.06	01:22:00	19.05698	19.05988	19.04968	19.05968	71	0	2239
2024.02.06	01:24:00	19.05968	19.06058	19.04988	19.05838	114	0	1664
2024.02.06	01:26:00	19.05938	19.06058	19.05038	19.06038	87	0	1654
2024.02.06	01:28:00	19.05958	19.06563	19.05078	19.06138	100	0	1139
2024.02.06	01:30:00	19.07429	19.07439	19.06339	19.07359	90	0	100
2024.02.06	01:32:00	19.07319	19.07439	19.06339	19.07289	101	0	100
2024.02.06	01:34:00	19.07289	19.07439	19.06339	19.07289	75	0	165
2024.02.06	01:36:00	19.07289	19.07439	19.06339	19.07369	57	0	472
2024.02.06	01:38:00	19.07339	19.07449	19.06329	19.07289	50	0	1513
2024.02.06	01:40:00	19.07289	19.07429	19.06339	19.07279	91	0	1388
2024.02.06	01:42:00	19.07279	19.07449	19.06339	19.07289	61	0	1363
2024.02.06	01:44:00	19.07279	19.07429	19.06339	19.07239	50	0	1168
2024.02.06	01:46:00	19.07239	19.07439	19.06339	19.07349	49	0	100
2024.02.06	01:48:00	19.07289	19.07449	19.06339	19.07439	65	0	100
2024.02.06	01:50:00	19.07339	19.07439	19.06339	19.07439	55	0	748
2024.02.06	01:52:00	19.07349	19.07469	19.06339	19.07459	72	0	718
2024.02.06	01:54:00	19.07339	19.07479	19.06339	19.07459	49	0	708
2024.02.06	01:56:00	19.07349	19.07449	19.06339	19.07339	58	0	723
2024.02.06	01:58:00	19.07539	19.08579	19.05693	19.05693	302	0	100
2024.02.06	02:00:00	19.05546	19.07799	19.05546	19.07569	255	0	1309
2024.02.06	02:02:00	19.07594	19.07941	19.06709	19.07239	137	0	999
2024.02.06	02:04:00	19.07209	19.07400	19.07060	19.07191	131	0	179
2024.02.06	02:06:00	19.07161	19.07375	19.07004	19.07144	312	0	177
2024.02.06	02:08:00	19.07124	19.07759	19.07124	19.07561	126	0	189
2024.02.06	02:10:00	19.07543	19.07763	19.07515	19.07539	120	0	169
2024.02.06	02:12:00	19.07409	19.07777	19.07409	19.07777	85	0	295
2024.02.06	02:14:00	19.07772	19.07936	19.07653	19.07736	74	0	108
2024.02.06	02:16:00	19.07741	19.07837	19.07597	19.07772	84	0	100
2024.02.06	02:18:00	19.07799	19.07845	19.07564	19.07637	54	0	187
2024.02.06	02:20:00	19.07667	19.07757	19.07129	19.07139	101	0	224
2024.02.06	02:22:00	19.07149	19.07519	19.06219	19.06279	201	0	104
2024.02.06	02:24:00	19.06239	19.06482	19.06199	19.06328	43	0	361
2024.02.06	02:26:00	19.06372	19.06761	19.06299	19.06718	60	0	244
2024.02.06	02:28:00	19.06728	19.06910	19.06657	19.06758	60	0	177
2024.02.06	02:30:00	19.06771	19.06818	19.06541	19.06790	88	0	269
2024.02.06	02:32:00	19.06788	19.06788	19.06520	19.06643	62	0	299
2024.02.06	02:34:00	19.06643	19.06702	19.06522	19.06593	42	0	403
2024.02.06	02:36:00	19.06607	19.06612	19.06404	19.06531	38	0	493
2024.02.06	02:38:00	19.06551	19.06605	19.06434	19.06444	43	0	442
2024.02.06	02:40:00	19.06419	19.06500	19.06334	19.06498	26	0	547
2024.02.06	02:42:00	19.06487	19.06487	19.06029	19.06413	92	0	310
2024.02.06	02:44:00	19.06444	19.06645	19.05289	19.05389	85	0	221
2024.02.06	02:46:00	19.05369	19.05538	19.05179	19.05524	112	0	428
2024.02.06	02:48:00	19.05524	19.05661	19.05325	19.05593	126	0	303
2024.02.06	02:50:00	19.05589	19.05814	19.05229	19.05239	92	0	155
2024.02.06	02:52:00	19.05365	19.06139	19.05335	19.06089	93	0	192
2024.02.06	02:54:00	19.06069	19.06721	19.06049	19.06627	63	0	209
2024.02.06	02:56:00	19.06639	19.06926	19.06627	19.06848	41	0	318
2024.02.06	02:58:00	19.06828	19.06896	19.06736	19.06869	45	0	366
2024.02.06	03:00:00	19.06873	19.07809	19.06538	19.07679	86	0	309
2024.02.06	03:02:00	19.07699	19.07915	19.07471	19.07672	92	0	317
2024.02.06	03:04:00	19.07678	19.07732	19.07401	19.07703	77	0	248
2024.02.06	03:06:00	19.07692	19.08136	19.07673	19.07854	99	0	100
2024.02.06	03:08:00	19.07839	19.07839	19.06779	19.07205	113	0	151
2024.02.06	03:10:00	19.07267	19.07280	19.06649	19.07041	97	0	100
2024.02.06	03:12:00	19.07034	19.07139	19.05605	19.05631	109	0	209
2024.02.06	03:14:00	19.05731	19.05998	19.05631	19.05814	50	0	444
2024.02.06	03:16:00	19.05701	19.05982	19.05701	19.05943	23	0	395
2024.02.06	03:18:00	19.05869	19.06260	19.05849	19.06167	35	0	353
2024.02.06	03:20:00	19.06284	19.07512	19.06170	19.07111	39	0	198
2024.02.06	03:22:00	19.07287	19.07365	19.07121	19.07130	16	0	310
2024.02.06	03:24:00	19.07130	19.07186	19.07037	19.07108	20	0	372
2024.02.06	03:26:00	19.07196	19.07248	19.07074	19.07187	15	0	334
2024.02.06	03:28:00	19.07181	19.07195	19.06614	19.06614	21	0	266
2024.02.06	03:30:00	19.06734	19.07020	19.06587	19.06652	14	0	104
2024.02.06	03:32:00	19.06639	19.06795	19.06201	19.06337	31	0	294
2024.02.06	03:34:00	19.06337	19.06460	19.06241	19.06345	72	0	331
2024.02.06	03:36:00	19.06548	19.06897	19.06517	19.06689	100	0	383
2024.02.06	03:38:00	19.06784	19.06842	19.06591	19.06831	90	0	481
2024.02.06	03:40:00	19.06911	19.07209	19.06911	19.06955	23	0	361
2024.02.06	03:42:00	19.07018	19.07198	19.06999	19.07033	10	0	339
2024.02.06	03:44:00	19.07033	19.07110	19.06667	19.06685	23	0	414
2024.02.06	03:46:00	19.06685	19.06804	19.06369	19.06369	43	0	357
2024.02.06	03:48:00	19.06396	19.06546	19.04809	19.04878	77	0	314
2024.02.06	03:50:00	19.04898	19.05048	19.04898	19.05018	25	0	389
2024.02.06	03:52:00	19.04978	19.04978	19.04713	19.04800	42	0	459
2024.02.06	03:54:00	19.04800	19.04909	19.04800	19.04868	21	0	194
2024.02.06	03:56:00	19.04783	19.05422	19.04728	19.04780	28	0	100
2024.02.06	03:58:00	19.04780	19.04901	19.04780	19.04846	29	0	227
2024.02.06	04:00:00	19.04856	19.05198	19.04797	19.04918	41	0	168
2024.02.06	04:02:00	19.04868	19.05208	19.04868	19.04878	25	0	262
2024.02.06	04:04:00	19.04879	19.05198	19.04868	19.04912	41	0	124
2024.02.06	04:06:00	19.04914	19.04928	19.03943	19.04242	38	0	154
2024.02.06	04:08:00	19.04242	19.04328	19.04238	19.04308	11	0	409
2024.02.06	04:10:00	19.04308	19.04418	19.04308	19.04418	21	0	374
2024.02.06	04:12:00	19.04418	19.05278	19.04418	19.05088	53	0	252
2024.02.06	04:14:00	19.05078	19.05118	19.04948	19.04978	54	0	469
2024.02.06	04:16:00	19.04958	19.04996	19.04928	19.04928	19	0	414
2024.02.06	04:18:00	19.05069	19.05069	19.04928	19.05038	9	0	388
2024.02.06	04:20:00	19.05038	19.05138	19.05038	19.05078	31	0	354
2024.02.06	04:22:00	19.05068	19.05128	19.05038	19.05068	13	0	315
2024.02.06	04:24:00	19.05068	19.05068	19.05038	19.05038	3	0	258
2024.02.06	04:26:00	19.05038	19.05048	19.04262	19.04488	15	0	118
2024.02.06	04:28:00	19.04488	19.04673	19.04488	19.04506	18	0	100
2024.02.06	04:30:00	19.04498	19.04499	19.04488	19.04488	6	0	136
2024.02.06	04:32:00	19.04488	19.04549	19.04488	19.04488	11	0	154
2024.02.06	04:34:00	19.04488	19.04518	19.04188	19.04298	10	0	100
2024.02.06	04:36:00	19.04298	19.04378	19.04078	19.04348	13	0	101
2024.02.06	04:38:00	19.04348	19.04388	19.04108	19.04337	15	0	100
2024.02.06	04:40:00	19.04332	19.04332	19.03568	19.03758	54	0	100
2024.02.06	04:42:00	19.03758	19.04028	19.03638	19.03758	39	0	147
2024.02.06	04:44:00	19.03758	19.03908	19.03758	19.03868	21	0	306
2024.02.06	04:46:00	19.03878	19.03878	19.03808	19.03808	19	0	330
2024.02.06	04:48:00	19.03828	19.04078	19.03808	19.03938	29	0	184
2024.02.06	04:50:00	19.03948	19.03988	19.03808	19.03828	21	0	202
2024.02.06	04:52:00	19.03858	19.03888	19.03818	19.03848	16	0	266
2024.02.06	04:54:00	19.03858	19.03948	19.03848	19.03878	17	0	206
2024.02.06	04:56:00	19.03878	19.04008	19.03878	19.04008	9	0	250
2024.02.06	04:58:00	19.04008	19.05138	19.04008	19.04558	20	0	127
2024.02.06	05:00:00	19.04368	19.04648	19.04368	19.04648	6	0	253
2024.02.06	05:02:00	19.04648	19.04868	19.04648	19.04648	12	0	194
2024.02.06	05:04:00	19.04648	19.04648	19.04648	19.04648	2	0	311
2024.02.06	05:06:00	19.04648	19.04648	19.04388	19.04548	12	0	284
2024.02.06	05:08:00	19.04548	19.04598	19.04548	19.04598	3	0	285
2024.02.06	05:10:00	19.04628	19.04628	19.04438	19.04438	4	0	196
2024.02.06	05:12:00	19.04398	19.04398	19.04258	19.04258	5	0	208
2024.02.06	05:16:00	19.04208	19.04504	19.04208	19.04218	4	0	104
2024.02.06	05:18:00	19.04527	19.04532	19.04098	19.04288	25	0	100
2024.02.06	05:20:00	19.04288	19.04288	19.04128	19.04128	4	0	104
2024.02.06	05:24:00	19.04395	19.04395	19.04108	19.04108	3	0	104
2024.02.06	05:26:00	19.04068	19.04318	19.04068	19.04308	5	0	294
2024.02.06	05:28:00	19.04308	19.04328	19.04198	19.04228	8	0	378
2024.02.06	05:30:00	19.04238	19.04738	19.02578	19.03588	186	0	263
2024.02.06	05:32:00	19.03588	19.03948	19.03588	19.03588	85	0	542
2024.02.06	05:34:00	19.03588	19.04038	19.03588	19.03758	92	0	478
2024.02.06	05:36:00	19.03778	19.03968	19.03348	19.03618	102	0	544
2024.02.06	05:38:00	19.03638	19.03778	19.03438	19.03768	83	0	548
2024.02.06	05:40:00	19.03768	19.04428	19.03768	19.04398	84	0	559
2024.02.06	05:42:00	19.04372	19.04598	19.04285	19.04528	43	0	502
2024.02.06	05:44:00	19.04568	19.05088	19.04568	19.04988	51	0	429
2024.02.06	05:46:00	19.04988	19.05268	19.04988	19.05248	35	0	465
2024.02.06	05:48:00	19.05298	19.05418	19.05268	19.05318	47	0	390
2024.02.06	05:50:00	19.05298	19.05298	19.05168	19.05168	42	0	519
2024.02.06	05:52:00	19.05058	19.05208	19.05038	19.05048	68	0	484
2024.02.06	05:54:00	19.05048	19.05254	19.04928	19.05088	90	0	514
