<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.15	00:00:00	18.69390	18.78390	18.61965	18.70050	9	0	3100
2024.01.15	00:05:00	18.64672	18.64672	18.64637	18.64637	7	0	3100
2024.01.15	00:10:00	18.64607	18.64607	18.63762	18.63786	17	0	3100
2024.01.15	00:15:00	18.63451	18.63872	18.63451	18.63872	4	0	3100
2024.01.15	00:20:00	18.63870	18.63870	18.63786	18.63786	2	0	3100
2024.01.15	00:25:00	18.63872	18.63872	18.63872	18.63872	2	0	3100
2024.01.15	00:30:00	18.63870	18.63872	18.63656	18.63656	3	0	3100
2024.01.15	00:35:00	18.63837	18.63837	18.63450	18.63450	2	0	3100
2024.01.15	00:40:00	18.63861	18.63861	18.63438	18.63438	2	0	3100
2024.01.15	00:45:00	18.63861	18.63861	18.63861	18.63861	1	0	3100
2024.01.15	00:50:00	18.63952	18.63952	18.63730	18.63730	2	0	3100
2024.01.15	01:00:00	18.64098	18.64445	18.61425	18.61425	6	0	3100
2024.01.15	01:05:00	18.61425	18.61425	18.61425	18.61425	3	0	3100
2024.01.15	01:10:00	18.61746	18.62343	18.61621	18.61656	7	0	3100
2024.01.15	01:15:00	18.62361	18.62361	18.61425	18.61425	13	0	3100
2024.01.15	01:20:00	18.61425	18.61670	18.61313	18.61325	6	0	3100
2024.01.15	01:25:00	18.65734	18.66693	18.65734	18.66693	8	0	3100
2024.01.15	01:30:00	18.66693	18.66693	18.62428	18.62595	13	0	3100
2024.01.15	01:35:00	18.62595	18.65773	18.62595	18.65484	23	0	3100
2024.01.15	01:40:00	18.65484	18.65515	18.65088	18.65401	9	0	3100
2024.01.15	01:45:00	18.66488	18.67574	18.64123	18.64123	11	0	3100
2024.01.15	01:50:00	18.64678	18.64678	18.63708	18.64142	6	0	3100
2024.01.15	01:55:00	18.65301	18.65744	18.64681	18.64681	9	0	3100
2024.01.15	02:00:00	18.65512	18.69063	18.65139	18.68018	73	0	100
2024.01.15	02:05:00	18.67691	18.68308	18.65398	18.67460	80	0	280
2024.01.15	02:10:00	18.67324	18.67620	18.66758	18.67330	77	0	170
2024.01.15	02:15:00	18.67330	18.67672	18.67131	18.67131	33	0	420
2024.01.15	02:20:00	18.67131	18.67639	18.65862	18.65915	103	0	100
2024.01.15	02:25:00	18.65913	18.66608	18.64414	18.66546	83	0	814
2024.01.15	02:30:00	18.66537	18.66638	18.64505	18.64688	64	0	155
2024.01.15	02:35:00	18.64668	18.65278	18.64398	18.64965	111	0	254
2024.01.15	02:40:00	18.64988	18.64988	18.63833	18.63988	89	0	309
2024.01.15	02:45:00	18.64078	18.65035	18.63874	18.64678	43	0	589
2024.01.15	02:50:00	18.64748	18.64748	18.63011	18.63498	135	0	854
2024.01.15	02:55:00	18.63498	18.64028	18.63458	18.63748	111	0	699
2024.01.15	03:00:00	18.63588	18.64140	18.63209	18.63788	135	0	364
2024.01.15	03:05:00	18.63708	18.64168	18.63478	18.63898	134	0	347
2024.01.15	03:10:00	18.63898	18.64470	18.63688	18.64319	44	0	649
2024.01.15	03:15:00	18.64268	18.65206	18.64157	18.65171	29	0	626
2024.01.15	03:20:00	18.65171	18.65609	18.65133	18.65367	282	0	566
2024.01.15	03:25:00	18.65387	18.65454	18.65062	18.65388	148	0	494
2024.01.15	03:30:00	18.65358	18.66313	18.65281	18.66313	45	0	515
2024.01.15	03:35:00	18.66313	18.66313	18.66029	18.66098	29	0	104
2024.01.15	03:40:00	18.66098	18.66098	18.65856	18.65934	20	0	104
2024.01.15	03:45:00	18.65934	18.66167	18.65882	18.65952	17	0	104
2024.01.15	03:50:00	18.65952	18.65952	18.65518	18.65581	15	0	194
2024.01.15	03:55:00	18.65581	18.65921	18.65494	18.65921	51	0	369
2024.01.15	04:00:00	18.65921	18.65921	18.64494	18.64494	73	0	324
2024.01.15	04:05:00	18.64494	18.64858	18.64494	18.64583	24	0	234
2024.01.15	04:10:00	18.64583	18.64657	18.64583	18.64583	12	0	312
2024.01.15	04:15:00	18.64583	18.64620	18.64182	18.64248	27	0	104
2024.01.15	04:20:00	18.64248	18.64248	18.62617	18.62885	84	0	254
2024.01.15	04:25:00	18.62885	18.63187	18.62802	18.62994	26	0	503
2024.01.15	04:30:00	18.62994	18.63216	18.62943	18.63206	21	0	441
2024.01.15	04:35:00	18.63206	18.63229	18.63128	18.63154	12	0	353
2024.01.15	04:40:00	18.63154	18.63154	18.63103	18.63104	12	0	357
2024.01.15	04:45:00	18.63104	18.63127	18.62924	18.63028	24	0	363
2024.01.15	04:50:00	18.63028	18.63068	18.62098	18.62132	52	0	445
2024.01.15	04:55:00	18.62112	18.62258	18.62004	18.62136	76	0	537
2024.01.15	05:00:00	18.62136	18.62241	18.61999	18.62208	36	0	475
2024.01.15	05:05:00	18.62208	18.62688	18.62081	18.62258	32	0	116
2024.01.15	05:10:00	18.62228	18.62228	18.62094	18.62114	30	0	593
2024.01.15	05:15:00	18.62118	18.62278	18.62118	18.62208	18	0	529
2024.01.15	05:20:00	18.62178	18.62713	18.62108	18.62148	25	0	100
2024.01.15	05:25:00	18.62158	18.62192	18.62049	18.62177	17	0	549
2024.01.15	05:30:00	18.62177	18.62228	18.62168	18.62228	10	0	582
2024.01.15	05:35:00	18.62278	18.62278	18.62132	18.62165	13	0	578
2024.01.15	05:40:00	18.62170	18.62184	18.62133	18.62138	11	0	591
2024.01.15	05:45:00	18.62161	18.62708	18.62138	18.62688	23	0	146
2024.01.15	05:50:00	18.62708	18.62858	18.62588	18.62858	82	0	132
2024.01.15	05:55:00	18.62878	18.62928	18.62838	18.62917	26	0	104
2024.01.15	06:00:00	18.62927	18.63638	18.62927	18.63538	83	0	104
2024.01.15	06:05:00	18.63548	18.64088	18.63458	18.63805	144	0	315
2024.01.15	06:10:00	18.63858	18.64088	18.63794	18.63988	118	0	336
2024.01.15	06:15:00	18.64008	18.64278	18.63948	18.64278	69	0	279
2024.01.15	06:20:00	18.64308	18.64488	18.64228	18.64408	60	0	221
2024.01.15	06:25:00	18.64428	18.64428	18.64158	18.64178	59	0	281
2024.01.15	06:30:00	18.64178	18.64288	18.64138	18.64178	21	0	405
2024.01.15	06:35:00	18.64208	18.64208	18.64028	18.64038	24	0	484
2024.01.15	06:40:00	18.64038	18.64078	18.63938	18.63998	20	0	683
2024.01.15	06:45:00	18.64038	18.64038	18.63928	18.63958	15	0	656
2024.01.15	06:50:00	18.63958	18.64091	18.63870	18.64004	33	0	588
2024.01.15	06:55:00	18.64073	18.64158	18.63841	18.63841	75	0	522
2024.01.15	07:00:00	18.63974	18.64298	18.63833	18.64298	63	0	543
