<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2024.02.23	16:00:00.188	1.64763	1.64778			6
2024.02.23	16:00:00.289	1.64759	1.64779			6
2024.02.23	16:00:00.400	1.64760				2
2024.02.23	16:00:00.505	1.64758	1.64778			6
2024.02.23	16:00:00.620	1.64759				2
2024.02.23	16:00:00.843	1.64760	1.64779			6
2024.02.23	16:00:01.067	1.64761				2
2024.02.23	16:00:01.278		1.64777			4
2024.02.23	16:00:01.483	1.64760	1.64779			6
2024.02.23	16:00:01.592	1.64758	1.64774			6
2024.02.23	16:00:01.689	1.64753	1.64772			6
2024.02.23	16:00:01.800		1.64773			4
2024.02.23	16:00:02.009	1.64754				2
2024.02.23	16:00:02.111	1.64753	1.64774			6
2024.02.23	16:00:02.433	1.64756	1.64776			6
2024.02.23	16:00:02.639		1.64777			4
2024.02.23	16:00:03.252	1.64757	1.64778			6
2024.02.23	16:00:03.640	1.64759				2
2024.02.23	16:00:03.746		1.64780			4
2024.02.23	16:00:03.852	1.64757	1.64778			6
2024.02.23	16:00:03.958	1.64759				2
2024.02.23	16:00:04.277		1.64776			4
2024.02.23	16:00:04.379	1.64756	1.64775			6
2024.02.23	16:00:04.482	1.64755	1.64776			6
2024.02.23	16:00:05.234	1.64757	1.64777			6
2024.02.23	16:00:05.336	1.64756				2
2024.02.23	16:00:05.448	1.64757				2
2024.02.23	16:00:05.551	1.64762	1.64782			6
2024.02.23	16:00:06.332	1.64761	1.64779			6
2024.02.23	16:00:06.435	1.64757	1.64777			6
2024.02.23	16:00:06.558	1.64758				2
2024.02.23	16:00:06.769		1.64776			4
2024.02.23	16:00:06.876		1.64779			4
2024.02.23	16:00:06.984		1.64780			4
2024.02.23	16:00:07.195	1.64757	1.64778			6
2024.02.23	16:00:07.310	1.64761	1.64777			6
2024.02.23	16:00:07.413		1.64778			4
2024.02.23	16:00:07.515	1.64758				2
2024.02.23	16:00:07.771	1.64757	1.64777			6
2024.02.23	16:00:07.989		1.64778			4
2024.02.23	16:00:08.091		1.64780			4
2024.02.23	16:00:08.193	1.64758				2
2024.02.23	16:00:08.418	1.64761				2
2024.02.23	16:00:08.658		1.64779			4
2024.02.23	16:00:08.834	1.64758	1.64780			6
2024.02.23	16:00:09.368		1.64781			4
2024.02.23	16:00:09.705		1.64780			4
2024.02.23	16:00:09.808	1.64759				2
2024.02.23	16:00:10.167		1.64779			4
2024.02.23	16:00:10.366		1.64781			4
2024.02.23	16:00:10.567		1.64779			4
2024.02.23	16:00:11.130	1.64760				2
2024.02.23	16:00:11.258	1.64761	1.64780			6
2024.02.23	16:00:11.365		1.64781			4
2024.02.23	16:00:13.012		1.64782			4
2024.02.23	16:00:13.226		1.64779			4
2024.02.23	16:00:13.328	1.64759				2
2024.02.23	16:00:13.432		1.64778			4
2024.02.23	16:00:13.536	1.64760				2
2024.02.23	16:00:13.637	1.64759				2
2024.02.23	16:00:13.757		1.64779			4
2024.02.23	16:00:14.084	1.64760				2
2024.02.23	16:00:14.289		1.64780			4
2024.02.23	16:00:14.633	1.64761	1.64779			6
2024.02.23	16:00:14.736	1.64759	1.64778			6
2024.02.23	16:00:14.841		1.64777			4
2024.02.23	16:00:15.156	1.64754	1.64772			6
2024.02.23	16:00:15.259	1.64751	1.64770			6
2024.02.23	16:00:15.554		1.64771			4
2024.02.23	16:00:15.758	1.64752				2
2024.02.23	16:00:16.024	1.64753				2
2024.02.23	16:00:16.136		1.64770			4
2024.02.23	16:00:16.384		1.64771			4
2024.02.23	16:00:17.156	1.64752				2
2024.02.23	16:00:17.319	1.64753	1.64773			6
2024.02.23	16:00:17.551	1.64755	1.64774			6
2024.02.23	16:00:17.651	1.64753	1.64771			6
2024.02.23	16:00:17.759	1.64752	1.64772			6
2024.02.23	16:00:17.860	1.64750				2
2024.02.23	16:00:17.960	1.64752				2
2024.02.23	16:00:18.374	1.64753				2
2024.02.23	16:00:18.591		1.64773			4
2024.02.23	16:00:18.698		1.64774			4
2024.02.23	16:00:18.798		1.64771			4
2024.02.23	16:00:19.040		1.64772			4
2024.02.23	16:00:19.148	1.64754				2
2024.02.23	16:00:19.259	1.64752				2
2024.02.23	16:00:19.388	1.64751				2
2024.02.23	16:00:19.607	1.64752				2
2024.02.23	16:00:20.159	1.64751	1.64771			6
2024.02.23	16:00:20.264	1.64752				2
2024.02.23	16:00:20.373		1.64772			4
2024.02.23	16:00:21.117		1.64771			4
2024.02.23	16:00:21.231	1.64751	1.64772			6
2024.02.23	16:00:21.347	1.64757	1.64776			6
2024.02.23	16:00:21.448	1.64758	1.64777			6
2024.02.23	16:00:21.555		1.64779			4
2024.02.23	16:00:21.765		1.64778			4
2024.02.23	16:00:22.099		1.64779			4
2024.02.23	16:00:22.314		1.64778			4
2024.02.23	16:00:22.577		1.64777			4
2024.02.23	16:00:22.680	1.64759				2
2024.02.23	16:00:22.796	1.64758	1.64778			6
2024.02.23	16:00:23.048		1.64777			4
2024.02.23	16:00:23.595		1.64778			4
2024.02.23	16:00:23.835		1.64777			4
2024.02.23	16:00:24.050		1.64776			4
2024.02.23	16:00:24.423		1.64775			4
2024.02.23	16:00:24.638		1.64776			4
2024.02.23	16:00:24.980		1.64777			4
2024.02.23	16:00:25.084		1.64774			4
2024.02.23	16:00:25.205	1.64757	1.64775			6
2024.02.23	16:00:25.537		1.64774			4
2024.02.23	16:00:25.765		1.64775			4
2024.02.23	16:00:26.041	1.64756				2
2024.02.23	16:00:26.142		1.64774			4
2024.02.23	16:00:26.462	1.64754	1.64771			6
2024.02.23	16:00:26.561	1.64752	1.64770			6
2024.02.23	16:00:26.673		1.64769			4
2024.02.23	16:00:26.772	1.64748				2
2024.02.23	16:00:26.874	1.64750	1.64768			6
2024.02.23	16:00:26.979	1.64748	1.64769			6
2024.02.23	16:00:27.078		1.64770			4
2024.02.23	16:00:27.179	1.64749				2
2024.02.23	16:00:27.284		1.64769			4
2024.02.23	16:00:27.485		1.64770			4
2024.02.23	16:00:27.816	1.64748	1.64768			6
2024.02.23	16:00:27.918	1.64749	1.64769			6
2024.02.23	16:00:28.406		1.64767			4
2024.02.23	16:00:28.546	1.64751				2
2024.02.23	16:00:28.646	1.64749				2
2024.02.23	16:00:28.749	1.64751				2
2024.02.23	16:00:28.888	1.64749	1.64768			6
2024.02.23	16:00:28.996	1.64748	1.64767			6
2024.02.23	16:00:29.097	1.64750				2
2024.02.23	16:00:29.197	1.64749				2
2024.02.23	16:00:29.308	1.64750				2
2024.02.23	16:00:29.416	1.64749	1.64770			6
2024.02.23	16:00:29.642	1.64751				2
2024.02.23	16:00:30.981		1.64771			4
2024.02.23	16:00:31.083		1.64770			4
2024.02.23	16:00:31.194		1.64769			4
2024.02.23	16:00:31.375	1.64749				2
2024.02.23	16:00:31.606	1.64750				2
2024.02.23	16:00:32.177	1.64751				2
2024.02.23	16:00:32.643	1.64749				2
2024.02.23	16:00:33.409	1.64748				2
2024.02.23	16:00:33.511	1.64751	1.64770			6
2024.02.23	16:00:33.615	1.64754	1.64771			6
2024.02.23	16:00:33.726	1.64752				2
2024.02.23	16:00:33.839	1.64754				2
2024.02.23	16:00:34.084		1.64772			4
2024.02.23	16:00:34.302		1.64771			4
2024.02.23	16:00:34.550	1.64753				2
2024.02.23	16:00:34.763		1.64773			4
2024.02.23	16:00:35.408	1.64754				2
2024.02.23	16:00:35.732	1.64755	1.64776			6
2024.02.23	16:00:36.567		1.64775			4
2024.02.23	16:00:36.671	1.64756				2
2024.02.23	16:00:37.095		1.64774			4
2024.02.23	16:00:37.529	1.64758	1.64777			6
2024.02.23	16:00:37.630	1.64759	1.64778			6
2024.02.23	16:00:37.749	1.64762	1.64781			6
2024.02.23	16:00:37.856		1.64782			4
2024.02.23	16:00:37.960	1.64759	1.64780			6
2024.02.23	16:00:38.062	1.64760				2
2024.02.23	16:00:38.191	1.64759				2
2024.02.23	16:00:38.295	1.64761				2
2024.02.23	16:00:38.396		1.64779			4
2024.02.23	16:00:38.630		1.64780			4
2024.02.23	16:00:38.731	1.64760	1.64779			6
2024.02.23	16:00:39.648	1.64761				2
2024.02.23	16:00:40.060	1.64759				2
2024.02.23	16:00:40.402	1.64762	1.64781			6
2024.02.23	16:00:40.499	1.64764	1.64783			6
2024.02.23	16:00:40.918	1.64767				2
2024.02.23	16:00:41.130		1.64784			4
2024.02.23	16:00:41.499	1.64765				2
2024.02.23	16:00:41.605	1.64764				2
2024.02.23	16:00:41.710	1.64766	1.64786			6
2024.02.23	16:00:41.813	1.64765				2
2024.02.23	16:00:41.922		1.64787			4
2024.02.23	16:00:42.028	1.64767				2
2024.02.23	16:00:42.150	1.64768	1.64786			6
2024.02.23	16:00:42.257	1.64765				2
2024.02.23	16:00:42.359		1.64784			4
2024.02.23	16:00:42.576	1.64768	1.64786			6
2024.02.23	16:00:42.797		1.64785			4
2024.02.23	16:00:43.037		1.64786			4
2024.02.23	16:00:43.245	1.64769	1.64787			6
2024.02.23	16:00:43.366	1.64772	1.64788			6
2024.02.23	16:00:43.570	1.64769	1.64789			6
2024.02.23	16:00:43.963		1.64788			4
2024.02.23	16:00:44.181		1.64789			4
2024.02.23	16:00:44.635	1.64770	1.64788			6
2024.02.23	16:00:44.742	1.64771				2
2024.02.23	16:00:44.860	1.64766	1.64782			6
2024.02.23	16:00:44.962	1.64759	1.64781			6
2024.02.23	16:00:45.171	1.64760	1.64782			6
2024.02.23	16:00:45.273	1.64764	1.64783			6
2024.02.23	16:00:45.398	1.64760	1.64782			6
2024.02.23	16:00:45.501	1.64762				2
2024.02.23	16:00:45.603	1.64765				2
2024.02.23	16:00:45.708	1.64761	1.64783			6
2024.02.23	16:00:46.164	1.64763	1.64782			6
2024.02.23	16:00:46.316	1.64760				2
2024.02.23	16:00:46.724	1.64762	1.64781			6
2024.02.23	16:00:46.956	1.64760	1.64782			6
2024.02.23	16:00:47.098	1.64762	1.64783			6
2024.02.23	16:00:47.205	1.64760				2
2024.02.23	16:00:47.333	1.64766	1.64785			6
2024.02.23	16:00:47.433	1.64768	1.64788			6
2024.02.23	16:00:47.647	1.64770	1.64789			6
2024.02.23	16:00:47.749	1.64771	1.64791			6
2024.02.23	16:00:47.850	1.64772				2
2024.02.23	16:00:47.950		1.64790			4
2024.02.23	16:00:48.180		1.64791			4
